resultado;entrada;computacao;entrada_saida;usuario;sistema
308;7039581;1053703.00000;1053320.00000;1025764.00000;27939.00000
218;3543372;529387.00000;529032.00000;517356.00000;12031.00000
194;14225680;2071032.00000;2070703.00000;2003064.00000;67968.00000
1;77009352;12437452.00000;12439136.00000;12165421.00000;272031.00000
225;4438015;750559.00000;750076.00000;742575.00000;7984.00000
69;12830400;2079219.00000;2078798.00000;2027239.00000;51980.00000
1;74511027;12047903.00000;12050222.00000;11811905.00000;235998.00000
1;63251400;13845919.00000;13849622.00000;13606025.00000;239894.00000
1;17067456;2605750.00000;2605425.00000;2545802.00000;59948.00000
161;21711304;3278681.00000;3278404.00000;3198714.00000;79967.00000
1;401660;61364.00000;60925.00000;61364.00000;0.00000
52;1459238;203249.00000;202846.00000;199264.00000;3985.00000
1;3119306;476497.00000;476097.00000;464585.00000;11912.00000
46;10685465;1557203.00000;1556910.00000;1513282.00000;43921.00000
209;41374252;6348530.00000;6348758.00000;6212519.00000;136011.00000
1;5955198;893628.00000;893223.00000;869585.00000;24043.00000
1;28832908;4412809.00000;4412584.00000;4344797.00000;68012.00000
1;11313950;1711582.00000;1711074.00000;1659595.00000;51987.00000
148;2418486;344937.00000;344544.00000;340927.00000;4010.00000
1;23241465;3553054.00000;3553979.00000;3493037.00000;60017.00000
1;19494892;2821060.00000;2820694.00000;2765039.00000;56021.00000
343;12826212;1914252.00000;1914446.00000;1862300.00000;51952.00000
196;14545169;2177970.00000;2178164.00000;2118026.00000;59944.00000
1;69782890;11928842.00000;11928817.00000;11616925.00000;311917.00000
1;3890900;588887.00000;588512.00000;576869.00000;12018.00000
1;15565248;2354654.00000;2354511.00000;2298686.00000;55968.00000
204;12178800;1791506.00000;1791153.00000;1727524.00000;63982.00000
1;51309351;7918043.00000;7918706.00000;7746086.00000;171957.00000
140;4030926;596325.00000;596023.00000;576315.00000;20010.00000
248;11035314;1633013.00000;1632645.00000;1613050.00000;19963.00000
278;1483376;211909.00000;211504.00000;207911.00000;3998.00000
1;45017820;9328881.00000;9328836.00000;9136863.00000;192018.00000
123;1899682;279208.00000;278878.00000;267069.00000;12139.00000
92;8966360;1332774.00000;1332388.00000;1316765.00000;16009.00000
1;8436852;1272039.00000;1271654.00000;1248039.00000;24000.00000
291;24274208;4034634.00000;4034381.00000;3950663.00000;83971.00000
38;3981983;1409797.00000;1409048.00000;1365741.00000;44056.00000
1;10778544;1576738.00000;1576368.00000;1536720.00000;40018.00000
1;458451;72324.00000;71889.00000;68306.00000;4018.00000
166;46690176;7106684.00000;7106514.00000;6942715.00000;163969.00000
43;21069608;3295037.00000;3294718.00000;3223059.00000;71978.00000
24;8399122;1273635.00000;1273273.00000;1233584.00000;40051.00000
1;7498568;1119519.00000;1119154.00000;1083535.00000;35984.00000
1;2438400;364982.00000;364538.00000;352950.00000;12032.00000
83;2884960;435772.00000;435449.00000;423779.00000;11993.00000
1;928590;133244.00000;132883.00000;129207.00000;4037.00000
130;6748550;965447.00000;965298.00000;945500.00000;19947.00000
193;75258;12517.00000;12058.00000;9388.00000;3129.00000
1;22257585;3409304.00000;3409893.00000;3313268.00000;96036.00000
152;44883690;6968035.00000;6968579.00000;6824035.00000;144000.00000
1;6144155;952210.00000;952118.00000;936207.00000;16003.00000
1;3922795;620158.00000;619774.00000;612156.00000;8002.00000
1;11491902;1736327.00000;1736216.00000;1668315.00000;68012.00000
1;1745436;245493.00000;245099.00000;245493.00000;0.00000
65;11106933;1719412.00000;1719166.00000;1655434.00000;63978.00000
1;8567774;1324385.00000;1324017.00000;1292376.00000;32009.00000
1;1650294;247323.00000;247073.00000;243334.00000;3989.00000
282;62925140;11587948.00000;11587723.00000;11256065.00000;331883.00000
309;16306374;2402971.00000;2402849.00000;2338999.00000;63972.00000
1;8417520;1268021.00000;1267659.00000;1232021.00000;36000.00000
430;18962027;2889843.00000;2890096.00000;2813900.00000;75943.00000
125;26923988;4076569.00000;4076009.00000;3984557.00000;92012.00000
327;32061092;4859576.00000;4858892.00000;4731588.00000;127988.00000
